,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
0,Pilot,d10012021,arjeO,reward_learning,1.0,0.0,4.0,1.0,153.0,1145.0,4.33192142194694,,,,0
1,Pilot,d10012021,arjeO,reward_learning,1.0,1.0,49.0,-1.0,0.0,1088.0,3.936025404896524,-1.0,920.0,1.9929105203673656,1
2,Pilot,d10012021,arjeO,reward_learning,1.0,2.0,56.0,1.0,149.0,892.0,2.5746987497757954,1.0,919.0,1.9846016245789473,1
3,Pilot,d10012021,arjeO,reward_learning,1.0,3.0,36.0,1.0,150.0,687.0,1.1508621972260538,1.0,952.0,2.258795185596752,1
4,Pilot,d10012021,arjeO,reward_learning,1.0,4.0,32.0,-1.0,0.0,672.0,1.0466790348443653,-1.0,895.0,1.7851881256569078,1
5,Pilot,d10012021,arjeO,reward_learning,1.0,5.0,48.0,-1.0,0.0,694.0,1.1994810063375083,-1.0,765.0,0.7050316731625266,1
6,Pilot,d10012021,arjeO,reward_learning,1.0,6.0,8.0,-1.0,0.0,403.0,-0.8216723438672471,1.0,1176.0,4.1199878422024545,0
7,Pilot,d10012021,arjeO,reward_learning,1.0,7.0,40.0,1.0,152.0,640.0,0.82442162176343,1.0,709.0,0.23973350901110096,1
8,Pilot,d10012021,arjeO,reward_learning,1.0,8.0,39.0,-1.0,0.0,526.0,0.032629587662597985,-1.0,810.0,1.078931983641351,1
9,Pilot,d10012021,arjeO,reward_learning,1.0,9.0,19.0,-1.0,0.0,371.0,-1.0439297569481825,-1.0,817.0,1.137094254160279,1
10,Pilot,d10012021,arjeO,reward_learning,1.0,10.0,19.0,-1.0,0.0,389.0,-0.9189099620901563,-1.0,591.0,-0.7407161940222603,1
11,Pilot,d10012021,arjeO,reward_learning,1.0,11.0,7.0,1.0,143.0,372.0,-1.0369842127894031,1.0,710.0,0.24804240479951928,1
12,Pilot,d10012021,arjeO,reward_learning,1.0,12.0,49.0,-1.0,0.0,564.0,0.29656026569620864,-1.0,720.0,0.3311313626837024,1
13,Pilot,d10012021,arjeO,reward_learning,1.0,13.0,4.0,1.0,153.0,363.0,-1.0994941102184161,1.0,672.0,-0.06769563516037672,1
14,Pilot,d10012021,arjeO,reward_learning,1.0,14.0,41.0,-1.0,0.0,506.0,-0.10628129551298658,-1.0,749.0,0.5720893405478336,1
15,Pilot,d10012021,arjeO,reward_learning,1.0,15.0,32.0,-1.0,0.0,519.0,-0.015989221448856613,-1.0,761.0,0.6717960900088533,1
16,Pilot,d10012021,arjeO,reward_learning,1.0,16.0,12.0,-1.0,0.0,592.0,0.49103550214202707,-1.0,689.0,0.07355559324273464,1
17,Pilot,d10012021,arjeO,reward_learning,1.0,17.0,36.0,1.0,150.0,397.0,-0.8633456088199225,1.0,742.0,0.5139270700289054,1
18,Pilot,d10012021,arjeO,reward_learning,1.0,18.0,56.0,1.0,149.0,524.0,0.01873849934503953,1.0,612.0,-0.5662293824654756,1
19,Pilot,d10012021,arjeO,reward_learning,1.0,19.0,12.0,-1.0,0.0,509.0,-0.0854446630366489,-1.0,746.0,0.5471626531825786,1
20,Pilot,d10012021,arjeO,reward_learning,1.0,20.0,7.0,1.0,143.0,633.0,0.7758028126519754,1.0,635.0,-0.3751247793318544,1
21,Pilot,d10012021,arjeO,reward_learning,1.0,21.0,41.0,-1.0,0.0,445.0,-0.5299594891985195,-1.0,632.0,-0.40005146669710934,1
22,Pilot,d10012021,arjeO,reward_learning,1.0,22.0,39.0,-1.0,0.0,472.0,-0.34242979691148034,-1.0,1170.0,4.070134467471944,1
23,Pilot,d10012021,arjeO,reward_learning,1.0,23.0,8.0,-1.0,0.0,518.0,-0.02293476560763584,-1.0,609.0,-0.5911560698307307,1
24,Pilot,d10012021,arjeO,reward_learning,1.0,24.0,5.0,1.0,151.0,402.0,-0.8286178880260263,1.0,716.0,0.29789577953002916,1
25,Pilot,d10012021,arjeO,reward_learning,1.0,25.0,40.0,1.0,152.0,459.0,-0.4327218709756103,1.0,554.0,-1.048145338193738,1
